30	0	0.936396
60	0	0.906117
90	0	0.884763
120	0	0.86651
150	0	0.850054
180	0	0.835743
210	0	0.822813
240	0	0.810808
270	0	0.79971
300	0	0.78917
330	0	0.778982
360	0	0.769525
390	0	0.760661
420	0	0.752323
450	0	0.744394
480	0	0.736716
510	0	0.72947
540	0	0.722303
570	0	0.714161
600	0	0.706569
630	0	0.699538
660	0	0.693221
690	0	0.687177
720	0	0.681366
750	0	0.675454
780	0	0.668833
810	0	0.662768
840	0	0.657146
870	0	0.651052
900	0	0.64575
930	0	0.640274
960	0	0.634797
990	0	0.629551
1020	0	0.624708
1050	0	0.619582
1080	0	0.614936
1110	0	0.610187
1140	0	0.605201
1170	0	0.600482
1200	0	0.596031
1230	0	0.591671
1260	0	0.587479
1290	0	0.583152
1320	0	0.578839
1350	0	0.574604
1380	0	0.57046
1410	0	0.56635
1440	0	0.562358
1470	0	0.55832
1500	0	0.554431
1530	0	0.550623
1560	0	0.546942
1590	0	0.543249
1620	0	0.539606
1650	0	0.535941
1680	0	0.532373
1710	0	0.528898
1740	0	0.525458
1770	0	0.522139
1800	0	0.51887
1830	0	0.515489
1860	0	0.512205
1890	0	0.509048
